english_word;polish_words;example;definition;stage
staggering;niewiarygodny;He earns a *** amount of money.;very shocking and surprising;1
delve;sięgać do;He ***d in his pocket and pulled out a pen.;to search in a container to try to find something;1
bewildering;oszałamiający;There was a *** range of subjects to choose from.;making you feel confused;1
convey;przekazywać/komunikować;She always ***s a sense of enthusiasm for her work.;to communicate information, feelings, or images to someone;1
jitter;drganie;---;---;1
bear out;potwierdzać czyjeś słowa;The facts do not *** his claims.;to prove that someone is right or that something is true;1
devise;wymyślić/opracowywać;---;to design or invent something such as a system, plan, or piece of equipment;1
distinctive;szczególny/charakterystyczny;a *** style of writing;Something that is distinctive is easy to recognize because it is different from other things.;1
forego;zrzec się/rezygnować z;---;another spelling of forgo (= to decide not to have or do something you want);1
converge;zbiegać się;The protesters ***d on the town square.;If lines, roads, or rivers converge, they meet at a particular point.;1
renowned;sławny/słynny;The island of Crete is *** for its beauty.;famous;2
stump;pień/kikut;a tree ***;the short part of something that is left after most of it has been removed;2
dissolve;rozpuszczać;These tablets *** in water.;If a solid dissolves, it becomes part of a liquid, and if you dissolve it, you make it become part of a liquid.;2
inflate;wypełniać (się) powietrzem /napompować/nadmuchać;In the event of an accident, the airbag will *** instantly.;to fill something with air or gas, or to become filled with air or gas;2
entail;wiązać się z/pociągać za sobą;What exactly does the job ***?;to involve something;2
abbreviate;skracać;The word 'street' is often ***d to 'St'.;to make a word or phrase shorter;2
exceptional;wyjątkowy;an ***ly gifted pianist;extremely good;2
asylum;przytułek;---;an institution offering shelter and support;2
confound;zadziwiać/wprawiać w zakłopotanie;The growth in the economy continues to *** the experts.;If something confounds someone, it makes them surprised and confused, because they cannot explain it.;2
petroleum;ropa naftowa;---;thick oil found under the Earth's surface which is used to produce petrol and other substances;2
ramifications;konsekwencje;---;the possible results of an action;2
mainstay;podstawa czegoś/filar;Cattle farming is the *** of the country's economy.;the most important thing or activity;2
confined;ograniczony/zamknięty;---;A confined space is very small.;2
evict;eksmitować;They were ***ed after complaints from their neighbours.;to legally force someone to leave the house they are living in;3
sole;podeszwa;shoe;the part of a shoe that is under your foot;3
infatuated;zadurzony/zauroczony;As the weeks passed he became totally *** with her.;If you are infatuated with someone, you feel extremely strongly attracted to them.;3
deception;oszustwo;He was found guilty of obtaining money by ***.;the act of deceiving someone by making them believe something that is not true;3
detention;zatrzymanie/aresztowanie;---;a situation in which someone is officially kept somewhere and not allowed to leave;3
caveat;zastrzeżenie;---;something you say that warns that there is a limit on a general announcement made earlier;3
henchman;poplecznik;---;someone who does unpleasant jobs for a powerful person;3
enrich;wzbogacać;[ often passive ] Our culture has been ***ed by the many immigrants who live here.;to improve the quality of something by adding something to it;3
squint;mrużyć oczy;She was ***ing at her computer screen.;to look at something with your eyes partly closed;3
ominous;złowróżbny/złowieszczy;*** clouds;making you think that something bad is going to happen;3
tentative;wstępny;plan;A tentative idea, plan, agreement, etc is not certain.;3
reed;trzcina;---;a tall, stiff plant like grass that grows near water;3
turnip;rzepa;---;a large, round, pale yellow vegetable that grows under the ground;3
reconcile;pogodzić;It is sometimes difficult to *** science and religion.;to make two different ideas, beliefs, or situations agree or able to exist together;3
desolate;opuszczony/odludny;a *** landscape;A desolate place is empty and makes you feel sad.;3
unkempt;zaniedbany/rozczochrany;Her hair was long and ***.;untidy;3
gluttony;obżarstwo;---;the quality of eating too much;3
compatriot;rodak;Pole;someone who comes from the same country;3
resemblance;podobieństwo;There's a striking *** between Diane and her mother.;a similarity between two people or things, especially in their appearance;3
disclosure;wyjawienie/ujawnienie;---;the act of giving people new or secret information;3
astute;bystry;an *** businesswoman;good at judging situations and making decisions that give you an advantage;3
adamant;nieugięty;[ + (that) ] They are *** that they have not broken any rules.;very sure of what you think and not willing to change your opinion;3
sleek;lśniący;---;Sleek hair is smooth and very shiny.;3
slumber;sen;She lay down on the bed and fell into a deep ***.;sleep;3
understate;bagatelizować;---;---;3
rag;szmata/ścierka;---;a piece of old cloth that you use to clean things;3
counsellor;psycholog;---;someone whose job is to listen to people and give them advice about their problems;3
sage;szałwia;---;a herb whose leaves are used to give flavour to food;3
tenant;najemca/lokator;---;someone who pays rent to live in a room, house, etc;3
appal;bulwersować;We were *** at/by her behaviour.;to make someone extremely shocked or upset;3
inane;idiotyczny;an *** question;very silly and annoying;3
